PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE
Single Family Residential,486 Hope St,Stamford,CT,6906,539000,3,2.5,2362,10018,1978,0,http://www.redfin.com/CT/Stamford/486-Hope-St-06906/home/107112524,41.0761534,-73.5231484
Condo/Co-op,101 Givens Ave Unit 2 (B),Stamford,CT,6902,339900,2,2.5,1650,0,1983,325,http://www.redfin.com/CT/Stamford/101-Givens-Ave-06902/unit-2-B/home/168045573,41.0495701,-73.5101859
Condo/Co-op,1400 Bedford St #10,Stamford,CT,6905,385000,2,2.5,1302,0,1987,428,http://www.redfin.com/CT/Stamford/1400-Bedford-St-06905/unit-10/home/107106224,41.0635555,-73.5409663
Single Family Residential,112 Country Club Rd,Stamford,CT,6903,625000,5,2.5,2588,44866,1963,0,http://www.redfin.com/CT/Stamford/112-Country-Club-Rd-06903/home/107082952,41.1706623,-73.5719503
Condo/Co-op,54 Myrtle Ave #2,Stamford,CT,6902,395000,3,2.5,1580,0,2003,240,http://www.redfin.com/CT/Stamford/54-Myrtle-Ave-06902/unit-2/home/107091635,41.0538784,-73.5245713
Single Family Residential,25 Shady Knoll Dr,Stamford,CT,6903,1795000,3,2.5,3928,157687,1986,0,http://www.redfin.com/CT/Stamford/25-Shady-Knoll-Dr-06903/home/107118090,41.1594221,-73.5566407
Condo/Co-op,2350 Washington Blvd #5,Stamford,CT,6905,410000,2,2.5,1960,0,1986,413,http://www.redfin.com/CT/Stamford/2350-Washington-Blvd-06905/unit-5/home/107117315,41.0685925,-73.5527046
Condo/Co-op,123 Harbor Dr #712,Stamford,CT,6902,799000,3,3,2172,0,1985,799,http://www.redfin.com/CT/Stamford/123-Harbor-Dr-06902/unit-712/home/107091827,41.0377393,-73.5298812
Single Family Residential,67 Barrett Ave,Stamford,CT,6905,579000,3,2.5,2621,11761,1940,0,http://www.redfin.com/CT/Stamford/67-Barrett-Ave-06905/home/107084197,41.0846014,-73.5361992
Single Family Residential,1171 Riverbank Rd,Stamford,CT,6903,729000,4,2.5,3544,94960,1962,0,http://www.redfin.com/CT/Stamford/1171-Riverbank-Rd-06903/home/107099198,41.1283881,-73.5974785
Condo/Co-op,123 Harbor Dr #406,Stamford,CT,6902,712000,2,3,2029,0,1985,799,http://www.redfin.com/CT/Stamford/123-Harbor-Dr-06902/unit-406/home/107109878,41.0377393,-73.5298812
Single Family Residential,135 Gina Cir,Stratford,CT,6614,339900,3,2.5,1848,12196,1989,0,http://www.redfin.com/CT/Stratford/135-Gina-Cir-06614/home/107219789,41.2317571,-73.1290453
Single Family Residential,115-B Highview Ave,Stamford,CT,6907,600000,4,3,2224,0,2007,122,http://www.redfin.com/CT/Stamford/115-Highview-Ave-06907/unit-B/home/107091143,41.099186,-73.5147811
Condo/Co-op,123 Harbor Dr #609,Stamford,CT,6902,625000,3,3,2029,0,1985,799,http://www.redfin.com/CT/Stamford/123-Harbor-Dr-06902/unit-609/home/107102170,41.0377393,-73.5298812
Single Family Residential,65 Nicki Laine Cir,Stratford,CT,6614,459000,3,2.5,3190,10454,2020,0,http://www.redfin.com/CT/Stratford/65-Nicki-Laine-Cir-06614/home/107227591,41.2205338,-73.1400011
Single Family Residential,85 Nicki Laine Cir,Stratford,CT,6614,459000,3,2.5,3190,15245,2020,0,http://www.redfin.com/CT/Stratford/85-Nicki-Laine-Cir-06614/home/107213532,41.2205354,-73.1397463
Single Family Residential,654 Nichols Ave,Stratford,CT,6614,309000,4,2.5,2134,22215,1910,0,http://www.redfin.com/CT/Stratford/654-Nichols-Ave-06614/home/107227305,41.2050119,-73.14191
Single Family Residential,300 Whippoorwill Ln,Stratford,CT,6614,409900,3,2.5,1594,58370,1946,0,http://www.redfin.com/CT/Stratford/300-Whippoorwill-Ln-06614/home/107221211,41.2283366,-73.119355
Single Family Residential,816 Housatonic Avenue Ext,Stratford,CT,6614,500000,4,2.5,2289,32670,2015,0,http://www.redfin.com/CT/Stratford/816-Housatonic-Ave-06615/home/107210594,41.199392,-73.1153196
Single Family Residential,115 Lighthouse Ave,Stratford,CT,6615,649000,4,2.5,2306,7405,2013,0,http://www.redfin.com/CT/Stratford/115-Lighthouse-Ave-06615/home/107208794,41.1561856,-73.1147447
Single Family Residential,3 Jefferson St,Stratford,CT,6615,799900,3,2.5,2304,4791,1994,0,http://www.redfin.com/CT/Stratford/3-Jefferson-St-06615/home/107219863,41.148888,-73.126962
Single Family Residential,105 3rd Ave,Stratford,CT,6615,549000,4,2.5,2723,7840,2010,0,http://www.redfin.com/CT/Stratford/105-3rd-Ave-06615/home/107225897,41.1494021,-73.1315264
Single Family Residential,1812 Elm St,Stratford,CT,6615,379900,6,2.5,4176,8276,1751,125,http://www.redfin.com/CT/Stratford/1812-Elm-St-06615/home/107222658,41.1853317,-73.1272843
Single Family Residential,40 Quail St,Stratford,CT,6614,419000,3,2.5,2000,7405,2020,0,http://www.redfin.com/CT/Stratford/40-Quail-St-06614/home/172069259,41.2161192,-73.1454955
Single Family Residential,107 W Beach Dr,Stratford,CT,6615,849000,2,2.5,2393,291852,2017,300,http://www.redfin.com/CT/Stratford/107-W-Beach-Dr-06615/home/172068743,41.1487674,-73.1356764
Single Family Residential,400 Maple Oak Dr #400,Stratford,CT,6614,444900,3,2.5,2058,10018,2009,295,http://www.redfin.com/CT/Stratford/400-Maple-Oak-Dr-06614/unit-400/home/172045809,41.257484,-73.109451
Single Family Residential,85 Baxter St,Stratford,CT,6615,448900,5,2.5,3406,7840,1999,0,http://www.redfin.com/CT/Stratford/85-Baxter-St-06615/home/107210635,41.1575967,-73.1153175
Single Family Residential,170 Walnut St,Stratford,CT,6615,325000,5,2.5,1982,7405,1960,0,http://www.redfin.com/CT/Stratford/170-Walnut-St-06615/home/107223242,41.1581459,-73.122444
Condo/Co-op,123 Harbor Dr #503,Stamford,CT,6902,850000,3,3,2172,0,1985,799,http://www.redfin.com/CT/Stamford/123-Harbor-Dr-06902/unit-503/home/107090230,41.0377393,-73.5298812
Condo/Co-op,95 Columbus Pl #6,Stamford,CT,6907,415000,3,3,2400,0,1982,325,http://www.redfin.com/CT/Stamford/95-Columbus-Pl-06907/unit-6/home/107117482,41.099285,-73.5130345
Single Family Residential,45 Otis St,Stratford,CT,6615,249900,4,2.5,1590,7840,1912,0,http://www.redfin.com/CT/Stratford/45-Otis-St-06615/home/107209462,41.1924097,-73.150609
