,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
213,Condo/Co-op,3755 OCEAN FRONT Walk #3,San Diego,CA,92109,1149900,2,1.0,784,,1972,475.0,http://www.redfin.com/CA/San-Diego/3755-Ocean-Front-Walk-92109/unit-3/home/5182631,32.7837514,-117.2535683
214,Single Family Residential,2202 Judith Ave,San Diego,CA,92154,530000,3,1.0,1681,6400.0,1958,,http://www.redfin.com/CA/San-Diego/2202-Judith-Ave-92154/home/6175156,32.5715054,-117.0861426
215,Single Family Residential,,San Diego,CA,92127,2095000,4,4.5,4795,34412.0,2014,550.0,http://www.redfin.com/CA/San-Diego/Undisclosed-address-92127/home/22900788,33.0245951,-117.14894790000001
216,Single Family Residential,760 Van Nuys St,San Diego,CA,92109,1689000,3,2.0,1324,5300.0,1950,,http://www.redfin.com/CA/San-Diego/760-Van-Nuys-St-92109/home/5124213,32.8115381,-117.26060759999999
217,Condo/Co-op,4834 W Mountain View Dr #6,San Diego,CA,92116,249900,0,1.0,364,,1990,207.0,http://www.redfin.com/CA/San-Diego/4834-W-Mountain-View-Dr-92116/unit-6/home/6693182,32.766242,-117.1261688
218,Condo/Co-op,2842 39th St #4,San Diego,CA,92105,259899,2,1.0,782,,1979,300.0,http://www.redfin.com/CA/San-Diego/2842-39th-St-92105/unit-4/home/5398193,32.734353000000006,-117.1111433
219,Condo/Co-op,11145 Affinity #21,San Diego,CA,92131,480000,2,2.0,1032,,1995,419.0,http://www.redfin.com/CA/San-Diego/11145-Affinity-Ct-92131/unit-21/home/4819100,32.921364000000004,-117.11077579999998
220,Condo/Co-op,800 The Mark Ln #2305,San Diego,CA,92101,979000,2,2.0,1133,,2007,785.0,http://www.redfin.com/CA/San-Diego/800-The-Mark-Ln-92101/unit-2305/home/17200831,32.710961100000006,-117.1569316
221,Condo/Co-op,575 6th Ave #1306,San Diego,CA,92101,745000,2,2.0,1144,,2007,644.0,http://www.redfin.com/CA/San-Diego/575-Sixth-Ave-92101/unit-1306/home/17202858,32.7111577,-117.1587558
222,Single Family Residential,854 Harwood,San Diego,CA,92154,609000,3,2.0,1616,6100.0,1958,,http://www.redfin.com/CA/San-Diego/854-Harwood-St-92154/home/6147790,32.5811759,-117.10041509999998
223,Townhouse,1163 Terracina Ln,San Diego,CA,92103,599900,2,2.5,1168,21403.0,2003,205.0,http://www.redfin.com/CA/San-Diego/1163-Terracina-Ln-92103/home/6610546,32.737027000000005,-117.173806
224,Single Family Residential,3763 Ticonderoga St,San Diego,CA,92117,1199900,3,2.5,1403,6600.0,1952,,http://www.redfin.com/CA/San-Diego/3763-Ticonderoga-St-92117/home/5195652,32.802009000000005,-117.20576170000001
225,Single Family Residential,3620 Voltaire,San Diego,CA,92106,929000,3,2.0,1108,7391.0,1943,,http://www.redfin.com/CA/San-Diego/3620-Voltaire-St-92106/home/5346624,32.7385064,-117.22716899999999
226,Condo/Co-op,3450 3rd Ave #302,San Diego,CA,92103,565000,2,2.0,1171,,1990,509.0,http://www.redfin.com/CA/San-Diego/3450-Third-Ave-92103/unit-302/home/5375893,32.7410879,-117.1625998
227,Single Family Residential,11840 SPRINGSIDE Rd,San Diego,CA,92128,979000,4,3.0,2101,4640.0,1991,40.0,http://www.redfin.com/CA/San-Diego/11840-Springside-Rd-92128/home/4776726,32.949114,-117.0778223
228,Condo/Co-op,4545 Arizona St #104,San Diego,CA,92116,499000,2,2.0,1140,,1997,345.0,http://www.redfin.com/CA/San-Diego/4545-Arizona-St-92116/unit-104/home/5295854,32.7600757,-117.13724920000001
229,Condo/Co-op,9392 TWIN TRAIL Dr #101,San Diego,CA,92129,445000,2,2.0,927,,1987,295.0,http://www.redfin.com/CA/San-Diego/9392-Twin-Trails-Dr-92129/unit-101/home/4768267,32.9558219,-117.12530929999998
230,Single Family Residential,745 Windemere Ct,San Diego,CA,92109,1495000,3,3.0,1679,,1998,,http://www.redfin.com/CA/San-Diego/745-Windemere-Ct-92109/home/5181360,32.7884713,-117.25366070000001
231,Single Family Residential,11275 Florindo Rd,San Diego,CA,92127,749000,5,3.0,2160,,1970,41.0,http://www.redfin.com/CA/San-Diego/11275-Florindo-Rd-92127/home/4226464,33.0264622,-117.0890385
232,Single Family Residential,6289 Quail Run St,San Diego,CA,92130,1545000,6,4.0,3218,7086.0,2011,182.0,http://www.redfin.com/CA/San-Diego/6289-Quail-Run-St-92130/home/22563514,32.968439399999994,-117.18573049999999
233,Condo/Co-op,1325 Pacific Hwy #3502,San Diego,CA,92101,4350000,4,2.5,3226,65514.0,2009,1100.0,http://www.redfin.com/CA/San-Diego/1325-Pacific-Hwy-92101/unit-3502/home/21886986,32.7192631,-117.1705169
