,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
83,Single Family Residential,10805 Cain Ave,Las Vegas,NV,89166,320000,3.0,2.5,1943.0,4356.0,2010.0,31.0,http://www.redfin.com/NV/Las-Vegas/10805-Cain-Ave-89166/home/35656469,36.299769700000006,-115.3312383
84,Single Family Residential,5345 Hammond Ct,Las Vegas,NV,89110,245000,3.0,2.0,1284.0,3920.0,2001.0,,http://www.redfin.com/NV/Las-Vegas/5345-Hammond-Ct-89110/home/29863408,36.168414899999995,-115.05669879999999
85,Single Family Residential,4528 Califa Dr,Las Vegas,NV,89122,279500,3.0,2.0,1668.0,8712.0,1999.0,112.0,http://www.redfin.com/NV/Las-Vegas/4528-Califa-Dr-89122/home/29433330,36.1072005,-115.03364760000001
86,Single Family Residential,1416 Swanbrooke Dr,Las Vegas,NV,89144,390000,3.0,2.5,1800.0,4792.0,2000.0,55.0,http://www.redfin.com/NV/Las-Vegas/1416-Swanbrooke-Dr-89144/home/29113198,36.1884115,-115.34114540000002
87,Single Family Residential,9561 Sun Drop Ct,Las Vegas,NV,89147,355000,4.0,2.5,2168.0,3920.0,2000.0,,http://www.redfin.com/NV/Las-Vegas/9561-Sun-Drop-Ct-89147/home/29556832,36.1233452,-115.30056529999999
88,Single Family Residential,1105 Country Shadows Way,Las Vegas,NV,89123,327000,4.0,2.5,2036.0,4792.0,1997.0,29.0,http://www.redfin.com/NV/Las-Vegas/1105-Country-Shadows-Way-89123/home/29625701,36.031657700000004,-115.1384034
89,Townhouse,5021 Spencer St Unit C,Las Vegas,NV,89119,118900,2.0,1.5,828.0,2256.0,1979.0,170.0,http://www.redfin.com/NV/Las-Vegas/5021-Spencer-St-89119/unit-C/home/29512615,36.0981038,-115.12862520000002
90,Vacant Land,E Harmon Ave,Las Vegas,NV,89119,335000,,,,20038.0,,,http://www.redfin.com/NV/Las-Vegas/E-Harmon-Ave-89119/home/172665047,36.1078105,-115.14428249999999
91,Single Family Residential,4074 Arrowood Dr,Las Vegas,NV,89147,310000,3.0,2.5,1731.0,5663.0,1979.0,,http://www.redfin.com/NV/Las-Vegas/4074-Arrowood-Dr-89147/home/29547881,36.115733399999996,-115.2472466
92,Single Family Residential,9720 Ridge Creek Pl,Las Vegas,NV,89134,314900,3.0,1.75,1295.0,4792.0,1995.0,,http://www.redfin.com/NV/Las-Vegas/9720-Ridge-Creek-Pl-89134/home/29155924,36.192037299999996,-115.30869150000001
93,Single Family Residential,10128 Cypress Glen Ave,Las Vegas,NV,89134,449000,4.0,2.5,2292.0,5227.0,1996.0,55.0,http://www.redfin.com/NV/Las-Vegas/10128-Cypress-Gln-89134/home/29106390,36.2038205,-115.3164002
94,Single Family Residential,6542 Vigo Rd,Las Vegas,NV,89146,1098880,11.0,9.0,3733.0,16117.0,1978.0,,http://www.redfin.com/NV/Las-Vegas/6542-Vigo-Rd-89146/home/29543520,36.12771420000001,-115.23434950000001
95,Single Family Residential,9830 Marietta Cellars Ct,Las Vegas,NV,89141,389000,5.0,2.5,2667.0,3485.0,2018.0,31.0,http://www.redfin.com/NV/Las-Vegas/9830-Marietta-Cellars-Ct-89139/home/161735049,36.0110763,-115.2207178
96,Multi-Family (2-4 Unit),4961 Apollostar Ct,Las Vegas,NV,89115,400000,,,3290.0,14810.0,1982.0,,http://www.redfin.com/NV/Las-Vegas/4961-Apollostar-Ct-89115/home/29367292,36.1984588,-115.0651566
97,Single Family Residential,9613 Abbey Pond Ave,Las Vegas,NV,89148,375000,4.0,3.0,2383.0,3920.0,2017.0,50.0,http://www.redfin.com/NV/Las-Vegas/9613-Abbey-Pond-Ave-89148/home/113211183,36.070456,-115.3027189
98,Condo/Co-op,8255 S Las Vegas Blvd #1307,Las Vegas,NV,89123,459900,2.0,2.0,1338.0,,2008.0,620.0,http://www.redfin.com/NV/Las-Vegas/8255-S-Las-Vegas-Blvd-89123/unit-1307/home/29800296,36.0398518,-115.1760955
99,Condo/Co-op,8255 S Las Vegas Blvd #912,Las Vegas,NV,89123,449900,2.0,2.5,1573.0,,2008.0,723.0,http://www.redfin.com/NV/Las-Vegas/8255-S-Las-Vegas-Blvd-89123/unit-912/home/29800271,36.0398518,-115.1760955
100,Single Family Residential,5458 Walton Heath Ave,Las Vegas,NV,89142,329900,4.0,2.5,2172.0,4356.0,1987.0,32.0,http://www.redfin.com/NV/Las-Vegas/5458-Walton-Heath-Ave-89142/home/29416903,36.140660499999996,-115.0546385
