state,city,population,location
Alabama,Kimberly city,2711,"Kimberly city, Alabama"
Alabama,Wedowee town,823,"Wedowee town, Alabama"
Alabama,Allgood town,622,"Allgood town, Alabama"
Alabama,Oakman town,789,"Oakman town, Alabama"
Alabama,Powell town,955,"Powell town, Alabama"
Alabama,Black town,207,"Black town, Alabama"
Alabama,Thomaston town,417,"Thomaston town, Alabama"
Alabama,Lanett city,6468,"Lanett city, Alabama"
Alabama,Beatrice town,301,"Beatrice town, Alabama"
Alabama,Vance town,1529,"Vance town, Alabama"
Alabama,Bakerhill town,279,"Bakerhill town, Alabama"
Alabama,Fairhope city,15326,"Fairhope city, Alabama"
Alabama,Lakeview town,143,"Lakeview town, Alabama"
Alabama,Sheffield city,9039,"Sheffield city, Alabama"
Alabama,Ethelsville town,81,"Ethelsville town, Alabama"
Alabama,Andalusia city,9015,"Andalusia city, Alabama"
Alabama,Castleberry town,583,"Castleberry town, Alabama"
Alabama,Graysville city,2165,"Graysville city, Alabama"
Alabama,Cherokee town,1048,"Cherokee town, Alabama"
Alabama,Cottonwood town,1289,"Cottonwood town, Alabama"
Alabama,Paint Rock town,210,"Paint Rock town, Alabama"
Alabama,Indian Springs Village city,2363,"Indian Springs Village city, Alabama"
Alabama,Trussville city,19933,"Trussville city, Alabama"
Alabama,York city,2538,"York city, Alabama"
Alabama,Louisville town,519,"Louisville town, Alabama"
Alabama,Henagar city,2344,"Henagar city, Alabama"
Alabama,Midland City town,2344,"Midland City town, Alabama"
Alabama,Eclectic town,1001,"Eclectic town, Alabama"
Alabama,Pisgah town,722,"Pisgah town, Alabama"
Alabama,Double Springs town,1083,"Double Springs town, Alabama"
Alabama,Memphis town,29,"Memphis town, Alabama"
Alabama,Saraland city,13405,"Saraland city, Alabama"
Alabama,Gordon town,332,"Gordon town, Alabama"
Alabama,McIntosh town,238,"McIntosh town, Alabama"
Alabama,Childersburg city,5175,"Childersburg city, Alabama"
Alabama,Triana town,496,"Triana town, Alabama"
Alabama,Killen town,1108,"Killen town, Alabama"
Alabama,Alabaster city,30352,"Alabaster city, Alabama"
Alabama,Lester town,111,"Lester town, Alabama"
Alabama,Daleville city,5295,"Daleville city, Alabama"
Alabama,Decatur city,55683,"Decatur city, Alabama"
